id,alias,name,is_closed,review_count,categories,rating,transactions,price,address,city,country,state,display_address,phone
tEnhREqfSe8MBwqtdcjL9A,dishdash-grill-milpitas,Dishdash Grill,False,1243,Middle Eastern,4.5,['delivery'],$$,181 Ranch Dr,Milpitas,US,CA,"['181 Ranch Dr', 'Milpitas, CA 95035']",+14082626949
2_NepvKyJwu5BgYsSXCk_w,hironori-craft-ramen-santa-clara,HiroNori Craft Ramen,False,1196,Ramen,4.5,"['pickup', 'restaurant_reservation', 'delivery']",$$,4300 Great America Pkwy,Santa Clara,US,CA,"['4300 Great America Pkwy', 'Ste 180', 'Santa Clara, CA 95054']",+16693425146
I63u4dWV5EN2UXbKBTbBCw,hippies-brew-express-hayward-2,Hippies Brew Express,False,1517,Coffee & Tea,4.5,"['pickup', 'delivery']",$,888 C St,Hayward,US,CA,"['888 C St', 'Hayward, CA 94541']",+15104618629
p5OO-EvUSz-ZcaLGXwvj-w,frodo-joes-coffee-and-tea-san-lorenzo,Frodo Joe's Coffee & Tea,False,717,Coffee & Tea,4.5,['delivery'],$,17665 Hesperian Blvd,San Lorenzo,US,CA,"['17665 Hesperian Blvd', 'San Lorenzo, CA 94580']",+15104811844
vWiMtE4uj6uCZxjQHcOz-w,bombay-pizza-house-fremont,Bombay Pizza House,False,862,Pizza,4.5,"['pickup', 'delivery']",$$,4922 Paseo Padre Pkwy,Fremont,US,CA,"['4922 Paseo Padre Pkwy', 'Fremont, CA 94555']",+15107967700
VfpoAilO-8D7aywIKEdFXQ,the-press-pleasanton,The Press,False,1170,Cafes,4.5,['delivery'],$$,1987 Santa Rita Rd,Pleasanton,US,CA,"['1987 Santa Rita Rd', 'Ste H', 'Pleasanton, CA 94566']",+19258469900
vIC6NMct6v9a3k2XAgNUJA,dish-n-dash-fremont-2,Dish N Dash,False,702,Middle Eastern,4.5,['delivery'],$$,43514 Christy St,Fremont,US,CA,"['43514 Christy St', 'Fremont, CA 94538']",+15102499220
ud9ocsQHI7h3zNO7FdOFYQ,zareens-mountain-view-3,Zareen's,False,1756,Halal,4.5,"['pickup', 'delivery']",$$,1477 Plymouth St,Mountain View,US,CA,"['1477 Plymouth St', 'Ste C', 'Mountain View, CA 94043']",+16506410335
SwFKtoEOlWPlYfLVUyt7Dw,chicken-meets-rice-santa-clara,Chicken Meets Rice,False,746,Chicken Shop,4.5,"['pickup', 'delivery']",$$,2213 Tasman Dr,Santa Clara,US,CA,"['2213 Tasman Dr', 'Santa Clara, CA 95054']",+14082127928
vx62TkaXqgOTw0w0BZM9kw,ghazni-afghan-kabobs-hayward,Ghazni Afghan Kabobs,False,948,Afghan,4.5,"['pickup', 'delivery']",$$,1235 A St,Hayward,US,CA,"['1235 A St', 'Hayward, CA 94541']",+15103988940
_YDK0w05YAO99aQudHGpkA,philz-coffee-palo-alto-5,Philz Coffee,False,1150,Coffee & Tea,4.5,['delivery'],$,3191 Middlefield Rd,Palo Alto,US,CA,"['3191 Middlefield Rd', 'Palo Alto, CA 94303']",+16502519798
HYbKSGCg8hqLw6J_X7qbyQ,acqua-e-farina-hayward,Acqua e Farina,False,958,Italian,4.5,['delivery'],$$,22622 Main St,Hayward,US,CA,"['22622 Main St', 'Hayward, CA 94541']",+15108881568
OPuFiXxckMS6U5KZjQWYFw,dittmers-gourmet-meats-and-wurst-haus-los-altos-2,Dittmer's Gourmet Meats & Wurst-Haus,False,670,Meat Shops,4.5,"['pickup', 'delivery']",$$,4540 El Camino Real,Los Altos,US,CA,"['4540 El Camino Real', 'Los Altos, CA 94022']",+16509413800
-aiJmz-lKshxqmnHPzo8gw,gen-korean-bbq-house-milpitas-3,Gen Korean BBQ House,False,2751,Korean,4.5,[],$$,190 Barber Ct,Milpitas,US,CA,"['190 Barber Ct', 'Ste 500', 'Milpitas, CA 95035']",+14089550228
cFCc8E8vOCFLWG9BJ6TNSg,tayyibaat-meat-and-grill-milpitas-4,Tayyibaat Meat And Grill,False,1021,Halal,4.5,"['pickup', 'delivery']",$$,10 S Abbott Ave,Milpitas,US,CA,"['10 S Abbott Ave', 'Milpitas, CA 95035']",+14085869700
6yV_yKXWTEgmBbg27T9-Xg,bun-appétit-donuts-fremont-2,Bun Appétit Donuts,False,644,Donuts,4.5,['delivery'],$,37120 Fremont Blvd,Fremont,US,CA,"['37120 Fremont Blvd', 'Ste A', 'Fremont, CA 94536']",+15105651292
wRYzAXNCO_izJK5GTR715A,la-fiesta-restaurant-mountain-view-2,La Fiesta Restaurant,False,842,Mexican,4.0,['delivery'],$$,240 Villa St,Mountain View,US,CA,"['240 Villa St', 'Mountain View, CA 94041']",+16509681364
BRDTqJZxuF-V9EO6nkElAw,bajis-cafe-mountain-view,Bajis Cafe,False,812,Breakfast & Brunch,4.0,"['delivery', 'pickup']",$$,2423 Old Middlefield Way,Mountain View,US,CA,"['2423 Old Middlefield Way', 'Ste A', 'Mountain View, CA 94043']",+16509677477
aW0blLKFlnnWpgIFzveHZA,i-tea-milpitas,i-Tea,False,820,Ramen,4.0,['delivery'],$,760 E Calaveras Blvd,Milpitas,US,CA,"['760 E Calaveras Blvd', 'Milpitas, CA 95035']",+14082622988
7BlSd63UNfopUCwSAQfVBw,teo-chow-noodle-shack-fremont,Teo Chow Noodle Shack,False,831,Chinese,4.0,"['delivery', 'pickup']",$$,4165 Cushing Pkwy,Fremont,US,CA,"['4165 Cushing Pkwy', 'Fremont, CA 94538']",+15106572800
Hf3h4YNR8eL0Xdf5yygmIA,sia-fusion-eatery-newark,Sia Fusion Eatery,False,807,Asian Fusion,4.0,"['pickup', 'delivery']",$$,39263 Cedar Blvd,Newark,US,CA,"['39263 Cedar Blvd', 'Newark, CA 94560']",+15107948852
zj77OUnaa_aynsc6l-la4A,chef-teriyaki-hayward-3,Chef Teriyaki,False,797,Japanese,4.0,['pickup'],$,26960 Hesperian Blvd,Hayward,US,CA,"['26960 Hesperian Blvd', 'Hayward, CA 94545']",+15103988885
8Hw3jcryyNbLukYk7IqucA,la-milpa-milpitas,La Milpa,False,835,Mexican,4.0,['delivery'],$$,107 N Milpitas Blvd,Milpitas,US,CA,"['107 N Milpitas Blvd', 'Milpitas, CA 95035']",+14089456540
8GGNNPwqqCwJdsu93R2Hww,the-kebab-shop-fremont-2,The Kebab Shop,False,794,Mediterranean,4.0,['delivery'],$$,43834 Pacific Commons Blvd,Fremont,US,CA,"['43834 Pacific Commons Blvd', 'Fremont, CA 94538']",+15104902700
56c16Ps5rC3S3bO2ZnUA2Q,mil-s-diner-milpitas,Mil’s Diner,False,819,Diners,4.0,['delivery'],$$,36 S Abbott Ave,Milpitas,US,CA,"['36 S Abbott Ave', 'Milpitas, CA 95035']",+14089464773
avlVbL84dBfLwBIFNJ3BpA,sen-dai-sushi-milpitas,Sen Dai Sushi,False,3200,Japanese,4.0,['pickup'],$$,224 N Abel St,Milpitas,US,CA,"['224 N Abel St', 'Milpitas, CA 95035']",+14082631472
JPItDtK9nz1oMW2vt6XU3g,papillon-fremont,Papillon,False,844,French,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$$,37296 Mission Blvd,Fremont,US,CA,"['37296 Mission Blvd', 'Fremont, CA 94536']",+15107936331
SkC9q60OAEM_T8k6ECVVgQ,orens-hummus-mountain-view-3,Oren's Hummus,False,868,Mediterranean,4.0,"['delivery', 'pickup']",$$,126 Castro St,Mountain View,US,CA,"['126 Castro St', 'Mountain View, CA 94041']",+16509386736
phUdcIxWnhz_pa6rXYWBpw,lokanta-grill-and-bar-pleasanton-2,Lokanta Grill & Bar,False,791,Mediterranean,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$,443 Main St,Pleasanton,US,CA,"['443 Main St', 'Pleasanton, CA 94566']",+19252238074
-O_S0NqL7NeDXo7tc0odiA,falafel-etc-fremont,"Falafel, Etc",False,899,Middle Eastern,4.0,['pickup'],$$,39200 Fremont Blvd,Fremont,US,CA,"['39200 Fremont Blvd', 'Fremont, CA 94538']",+15107957170
KMeJWd1zxNSHcUTeIaSejg,frodo-joes-petit-cafe-fremont,Frodo Joe's Petit Cafe,False,908,Creperies,4.0,['pickup'],$$,39286 Paseo Padre Pkwy,Fremont,US,CA,"['39286 Paseo Padre Pkwy', 'Fremont, CA 94538']",+15107900999
l8GVZvw9fFVGPupJg5DMKA,eureka-mountain-view-2,Eureka!,False,933,American (Traditional),4.0,"['pickup', 'delivery']",$$,191 Castro St,Mountain View,US,CA,"['191 Castro St', 'Mountain View, CA 94041']",+16504260582
5SFgMsPJc4VjfHpCyCnINg,doppio-zero-mountain-view,Doppio Zero,False,951,Pizza,4.0,"['pickup', 'delivery']",$$,160 Castro St,Mountain View,US,CA,"['160 Castro St', 'Mountain View, CA 94041']",+16509384147
DxFt5dsEWPZRoFD6EQ_HnA,loving-hut-milpitas-milpitas,Loving Hut - Milpitas,False,953,Vegetarian,4.0,['pickup'],$$,516 Barber Ln,Milpitas,US,CA,"['516 Barber Ln', 'Milpitas, CA 95035']",+14089430250
pirw30DvuMbst4GSCMxUyQ,green-champa-garden-fremont,Green Champa Garden,False,990,Thai,4.0,['delivery'],$$,42318 Fremont Blvd,Fremont,US,CA,"['42318 Fremont Blvd', 'Fremont, CA 94538']",+15104901500
i5RlRZwPavkbKXdB_0zOHA,house-of-dumplings-union-city-2,House of Dumplings,False,993,Chinese,4.0,"['pickup', 'delivery']",$,109 Appian Way,Union City,US,CA,"['109 Appian Way', 'Union City, CA 94587']",+15103248868
rhA4zoA5f45trMqMLY2NcQ,mikonos-grill-milpitas,Mikonos Grill,False,997,Greek,4.0,"['pickup', 'delivery']",$$,756 E Calaveras Blvd,Milpitas,US,CA,"['756 E Calaveras Blvd', 'Milpitas, CA 95035']",+14089426972
t7S4OwGaGe3t60kn7wLsrA,jang-su-jang-milpitas-3,Jang Su Jang,False,1000,Korean,4.0,['delivery'],$$,269 W Calaveras Blvd,Milpitas,US,CA,"['269 W Calaveras Blvd', 'Milpitas, CA 95035']",+14082623434
SyR3XRGBJUSe-R5qS0hbcg,jacks-restaurant-and-bar-newark-2,Jack's Restaurant & Bar,False,892,Breakfast & Brunch,4.0,"['pickup', 'delivery']",$$,1029 Newpark Mall Rd,Newark,US,CA,"['1029 Newpark Mall Rd', 'Newark, CA 94560']",+15107890027
_anR0d7K6-nwY1Ravk9VuA,o-sushi-newark,O' Sushi,False,769,Sushi Bars,4.0,['delivery'],$$,34940 Newark Blvd,Newark,US,CA,"['34940 Newark Blvd', 'Newark Market Place Shopping Center', 'Newark, CA 94560']",+15107922888
qDVyDfKzYTG3-iCeRNzCuA,la-catalana-san-jose,La Catalana,False,789,Tapas Bars,4.0,"['pickup', 'delivery']",$$,3720 N 1st St,San Jose,US,CA,"['3720 N 1st St', 'Ste 10', 'San Jose, CA 95134']",+14083241321
q9_N9SgML9UfDUz5ay49-Q,rogers-deli-mountain-view,Roger's Deli,False,777,Delis,4.0,['pickup'],$,295 E Middlefield Rd,Mountain View,US,CA,"['295 E Middlefield Rd', 'Mountain View, CA 94043']",+16509652204
6h8pCLeUisPsaBfRMrPMag,fremont-afghan-kabob-fremont,Fremont Afghan Kabob,False,647,Afghan,4.0,"['pickup', 'delivery']",$$,5379 Mowry Ave,Fremont,US,CA,"['5379 Mowry Ave', 'Fremont, CA 94538']",+15107393860
5ddnJuIVZTWh7dQ9x01kDw,flaming-house-restaurant-and-bar-newark,Flaming House Restaurant & Bar,False,654,Asian Fusion,4.0,['pickup'],$$,5498 Central Ave,Newark,US,CA,"['5498 Central Ave', 'Newark, CA 94560']",+15108941776
sCA94uDsF6dypGUZQ1WLAg,asian-box-mountain-view,Asian Box,False,663,Vietnamese,4.0,"['pickup', 'delivery']",$$,142 Castro St,Mountain View,US,CA,"['142 Castro St', 'Mountain View, CA 94041']",+16505843947
EHackOcsmq2vorreTBkytg,giovannis-pizzeria-sunnyvale,Giovanni's Pizzeria,False,663,Pizza,4.0,['delivery'],$$,1127 N Lawrence Expy,Sunnyvale,US,CA,"['1127 N Lawrence Expy', 'Sunnyvale, CA 94089']",+14087344221
JG_xNuxRaG4q7TTHSSxV9g,mr-kebab-union-city-2,Mr Kebab,False,673,Turkish,4.0,"['pickup', 'delivery']",$$,1760 Decoto Rd,Union City,US,CA,"['1760 Decoto Rd', 'Union City, CA 94587']",+15103243035
onhioUeyGgCT1SWDhTADNw,kokoro-ramen-milpitas,Kokoro Ramen,False,677,Ramen,4.0,"['pickup', 'delivery']",$$,263 W Calaveras Blvd,Milpitas,US,CA,"['263 W Calaveras Blvd', 'Milpitas, CA 95035']",+14082625000
zqaHnWF1KU8bI7t1HBKsag,taqueria-los-cunados-milpitas,Taqueria Los Cunados,False,679,Mexican,4.0,"['pickup', 'delivery']",$,196 Ranch Dr,Milpitas,US,CA,"['196 Ranch Dr', 'Milpitas, CA 95035']",+14082620844
D2ymnm3CyN7w7hMlzHd8ng,pizza-and-curry-fremont,Pizza & Curry,False,684,Indian,4.0,"['pickup', 'delivery']",$$,42136 Blacow Rd,Fremont,US,CA,"['42136 Blacow Rd', 'Fremont, CA 94538']",+15106870000
F-3Kl3tn80fq8aquXdHxHg,pho-to-chau-mountain-view-2,Pho To Chau,False,685,Vietnamese,4.0,['pickup'],$$,853 Villa St,Mountain View,US,CA,"['853 Villa St', 'Mountain View, CA 94041']",+16509618069
DdC6vFyHcxvR92pUGZDO1g,bronco-billys-pizza-palace-fremont,Bronco Billy's Pizza Palace,False,689,Pizza,4.0,['delivery'],$,37651 Niles Blvd,Fremont,US,CA,"['37651 Niles Blvd', 'Fremont, CA 94536']",+15107921070
Gqx2aA1Lta2bYqEUBRdRwg,blue-line-pizza-mountain-view,Blue Line Pizza,False,690,Pizza,4.0,['delivery'],$$,146 Castro St,Mountain View,US,CA,"['146 Castro St', 'Mountain View, CA 94041']",+16509387888
AQG8enVJnGepbVow2Jp7SA,chez-tj-mountain-view,Chez TJ,False,696,French,4.0,[],$$$$,938 Villa St,Mountain View,US,CA,"['938 Villa St', 'Mountain View, CA 94041']",+16509647466
TT1t4oHeZmqkoiuwgCN4bQ,india-garden-pleasanton-2,India Garden,False,702,Indian,4.0,"['pickup', 'delivery']",$$,210 Rose Ave,Pleasanton,US,CA,"['210 Rose Ave', 'Pleasanton, CA 94566']",+19254854800
LtIEogQDbjJ6MtlsjXjE4w,little-india-cafe-sunnyvale,Little India Cafe,False,707,Indian,4.0,"['pickup', 'delivery']",$$,415 N Mary Ave,Sunnyvale,US,CA,"['415 N Mary Ave', 'Ste 101', 'Sunnyvale, CA 94085']",+14082456200
wM24MKgNxcWQ3WiZnE7kFA,dog-haus-fremont,Dog Haus,False,708,Hot Dogs,4.0,"['pickup', 'delivery']",$,43456 Boscell Rd,Fremont,US,CA,"['43456 Boscell Rd', 'Fremont, CA 94538']",+15104902800
8nK6-uY6wBCFj_NAa4lLjA,pacific-pourhouse-union-city,Pacific PourHouse,False,717,American (New),4.0,"['pickup', 'restaurant_reservation', 'delivery']",$$,32216 Dyer St,Union City,US,CA,"['32216 Dyer St', 'Union City, CA 94587']",+15107687333
FfSpbeI8_x7ozZUVryo5JA,parcel-104-santa-clara,Parcel 104,False,719,American (New),4.0,['delivery'],$$$,2700 Mission College Blvd,Santa Clara,US,CA,"['2700 Mission College Blvd', 'Santa Clara, CA 95054']",+14089706104
GhowDzBiQkFVo-wxY9PqsA,esthers-german-bakery-los-altos,Esther's German Bakery,False,738,Bakeries,4.0,"['pickup', 'delivery']",$$,987 N San Antonio Rd,Los Altos,US,CA,"['987 N San Antonio Rd', 'Los Altos, CA 94022']",+16509414463
oa0k4i-zi_TdE-DQvCJNmg,bings-dumpling-fremont,Bing's Dumpling,False,740,Dim Sum,4.0,['delivery'],$$,34360 Fremont Blvd,Fremont,US,CA,"['34360 Fremont Blvd', 'Fremont, CA 94555']",+15103205360
Ce5JgEwL7G3HwalAFBcZEQ,napoletana-pizzeria-mountain-view,Napoletana Pizzeria,False,742,Italian,4.0,['delivery'],$$,1910 W El Camino Real,Mountain View,US,CA,"['1910 W El Camino Real', 'Ste C', 'Mountain View, CA 94040']",+16509694884
exmnsc3xUR-GbwppCX_8FA,casa-azteca-milpitas,Casa Azteca,False,742,Mexican,4.0,"['restaurant_reservation', 'pickup']",$$,20 N Abel St,Milpitas,US,CA,"['20 N Abel St', 'Milpitas, CA 95035']",+14089460466
Sf1T-8QWkIUnLHq7zC7juQ,tasty-pot-newark,Tasty Pot,False,747,Taiwanese,4.0,['delivery'],$$,34909 Newark Blvd,Newark,US,CA,"['34909 Newark Blvd', 'Newark, CA 94560']",+15107978889
zNywBR_2w0XXU-uE6wK4rg,baldies-café-union-city-2,Baldie's Café,False,762,Breakfast & Brunch,4.0,['delivery'],$$,2649 Decoto Rd,Union City,US,CA,"['2649 Decoto Rd', 'Union City, CA 94587']",+15104299059
vthv8ZcJl61kw3wN9LrhWg,mission-pizza-and-pub-fremont,Mission Pizza and Pub,False,764,Pizza,4.0,['delivery'],$$,1572 Washington Blvd,Fremont,US,CA,"['1572 Washington Blvd', 'Fremont, CA 94539']",+15106516858
4aosFGqkSRi0AFfABQkMNA,sweet-orchid-fremont,Sweet Orchid,False,768,Desserts,4.0,"['delivery', 'pickup']",$,34460 Fremont Blvd,Fremont,US,CA,"['34460 Fremont Blvd', 'Ste D', 'Fremont, CA 94555']",+15107396300
1gsJ5wVotJKHQ77IklHaWg,oasis-restaurant-and-wine-lounge-pleasanton-12,Oasis Restaurant & Wine Lounge,False,1013,Mediterranean,4.0,"['pickup', 'restaurant_reservation', 'delivery']",$$,780 Main St,Pleasanton,US,CA,"['780 Main St', 'Ste 101', 'Pleasanton, CA 94566']",+19254178438
zO5D1G5WAS5zuTdkmx0HBg,bills-café-pleasanton-3,Bill's Café,False,770,Breakfast & Brunch,4.0,"['delivery', 'pickup']",$$,3015 Hopyard Rd,Pleasanton,US,CA,"['3015 Hopyard Rd', 'Ste A', 'Pleasanton, CA 94588']",+19254265500
i_GuYJ_1hmW-lHeQ4GmOiw,lazy-dog-restaurant-and-bar-newark-2,Lazy Dog Restaurant & Bar,False,1005,American (New),4.0,['delivery'],$$,3100 Newpark Mall,Newark,US,CA,"['3100 Newpark Mall', 'Newark, CA 94560']",+15109252424
qTSUWmWaX5XyFQU7T60ZjQ,nonnis-bistro-pleasanton-2,Nonni's Bistro,False,882,Modern European,4.0,['delivery'],$$,425 Main St,Pleasanton,US,CA,"['425 Main St', 'Pleasanton, CA 94566']",+19256000411
ahh5gNUYFUozXk8kTSK5EA,fiesta-taco-pleasanton,Fiesta Taco,False,641,Tacos,4.0,[],$,1989 Santa Rita Rd,Pleasanton,US,CA,"['1989 Santa Rita Rd', 'Ste J', 'Pleasanton, CA 94566']",+19254170408
4XazTBU2MXR1cUW2eOoQRw,tadamasa-union-city-2,Tadamasa,False,1151,Ramen,4.0,['delivery'],$$,34672 Alvarado Niles Rd,Union City,US,CA,"['34672 Alvarado Niles Rd', 'Union City, CA 94587']",+15104758600
HBaqd1MiDDi9fjI63aaLfQ,anikis-sushi-fremont,Aniki's Sushi,False,2123,Sushi Bars,4.0,['delivery'],$$,3810 Mowry Ave,Fremont,US,CA,"['3810 Mowry Ave', 'Fremont, CA 94538']",+15107973474
WhjrtEC7Osv5Uv-EXIexxQ,gen-korean-bbq-house-fremont-3,Gen Korean BBQ House,False,2093,Korean,4.0,[],$$,43476 Boscell Rd,Fremont,US,CA,"['43476 Boscell Rd', 'Ste M6-B', 'Fremont, CA 94538']",+15105730447
BCRJCJOjHw3oUhfIVrfggA,dish-n-dash-sunnyvale-sunnyvale,Dish N Dash - Sunnyvale,False,1110,Middle Eastern,4.0,['delivery'],$$,736 N Mathilda Ave,Sunnyvale,US,CA,"['736 N Mathilda Ave', 'Sunnyvale, CA 94085']",+14085309200
ZimdCe2xCAOOZjt1aQAMvg,chef-chus-los-altos,Chef Chu's,False,1821,Chinese,4.0,['delivery'],$$,1067 N San Antonio Rd,Los Altos,US,CA,"['1067 N San Antonio Rd', 'Los Altos, CA 94022']",+16509482696
P9JoWQhkA0BrnSz8Jh6wNw,market-broiler-fremont-fremont,Market Broiler - Fremont,False,1688,Seafood,4.0,['delivery'],$$,43406 Christy St,Fremont,US,CA,"['43406 Christy St', 'Pacific Commons Shopping Ct', 'Fremont, CA 94538']",+15107918675
rTUV3mPTGcALQrKgdokACA,so-gong-dong-tofu-house-palo-alto,So Gong Dong Tofu House,False,1577,Korean,4.0,['delivery'],$$,4127 El Camino Real,Palo Alto,US,CA,"['4127 El Camino Real', 'Palo Alto, CA 94306']",+16504248805
yKpUdq-5cP5KJRq_MOw86Q,din-ding-dumpling-house-fremont-4,Din Ding Dumpling House,False,1523,Shanghainese,4.0,"['pickup', 'delivery']",$$,3213 Walnut Ave,Fremont,US,CA,"['3213 Walnut Ave', 'Fremont, CA 94538']",+15107978122
eFC7vWSJO2Ua5poPjShoww,de-afghanan-cuisine-fremont,De Afghanan Cuisine,False,1513,Afghan,4.0,"['pickup', 'delivery']",$$,37395 Fremont Blvd,Fremont,US,CA,"['37395 Fremont Blvd', 'Fremont, CA 94536']",+15108571009
uysbOIdKn3PVLzXhTD10gg,sultans-kebab-pleasanton,Sultan's Kebab,False,1179,Mediterranean,4.0,['pickup'],$$,6654 Koll Center Pkwy,Pleasanton,US,CA,"['6654 Koll Center Pkwy', 'Ste 205', 'Pleasanton, CA 94566']",+19258462511
j2rJ3W5c_CZ2tQh2QJ4oUA,sushi-tomi-mountain-view-2,Sushi Tomi,False,2254,Sushi Bars,4.0,['delivery'],$$,635 W Dana St,Mountain View,US,CA,"['635 W Dana St', 'Mountain View, CA 94040']",+16509683227
5hoAAdJ2XUVwFnmX49nyqw,colosseum-new-york-pizza-milpitas-5,Colosseum New York Pizza,False,1180,Pizza,4.0,['pickup'],$$,761 E Capitol Ave,Milpitas,US,CA,"['761 E Capitol Ave', 'Milpitas, CA 95035']",+14082628633
x2FqwlVxoH6mgo_MWYEj8w,new-thai-bistro-pleasanton-2,New Thai Bistro,False,1187,Thai,4.0,"['pickup', 'delivery']",$$,4301 D Valley Ave,Pleasanton,US,CA,"['4301 D Valley Ave', 'Pleasanton, CA 94566']",+19254257333
MGEuV75BBmwb9y4Nk8uUQw,vive-sol-mountain-view,Vive Sol,False,1327,Mexican,4.0,['delivery'],$$,2020 W El Camino Real,Mountain View,US,CA,"['2020 W El Camino Real', 'Mountain View, CA 94040']",+16509382020
h7Bh54Q6QEdDFtYC0LPxaQ,mioki-sushi-fremont,Mioki Sushi,False,1208,Sushi Bars,4.0,['pickup'],$$,3924 Decoto Rd,Fremont,US,CA,"['3924 Decoto Rd', 'Fremont, CA 94555']",+15107925677
ViNQhKtRYtOdtltzXGPaIQ,blaze-pizza-fremont-2,Blaze Pizza,False,1208,Pizza,4.0,[],$$,43831 Pacific Commons Blvd,Fremont,US,CA,"['43831 Pacific Commons Blvd', 'Fremont, CA 94538']",+15105640572
zg2YdzV9PgDAIUuaPli_pw,favorite-indian-restaurant-hayward,Favorite Indian Restaurant,False,1319,Indian,4.0,"['pickup', 'delivery']",$$,24052 Mission Blvd,Hayward,US,CA,"['24052 Mission Blvd', 'Hayward, CA 94544']",+15105837550
Qu-U2jL_cEY_8SeQwyQHZA,bob-sang-korean-bbq-and-tofu-fremont,Bob Sang Korean BBQ & Tofu,False,1280,Korean,4.0,"['pickup', 'delivery']",$$,4185 Cushing Pkwy,Fremont,US,CA,"['4185 Cushing Pkwy', 'Fremont, CA 94538']",+15102529844
DZR_JRTShGdXpdI3hv983w,skilletz-cafe-fremont,Skillet'z Cafe,False,1226,American (New),4.0,['delivery'],$$,37378 Niles Blvd,Fremont,US,CA,"['37378 Niles Blvd', 'Fremont, CA 94536']",+15107097398
hmyCeH2pDgaK61Tf_X7gzw,satomi-sushi-fremont,Satomi Sushi,False,2210,Sushi Bars,4.0,['delivery'],$$,3655 Thornton Ave,Fremont,US,CA,"['3655 Thornton Ave', 'Fremont, CA 94536']",+15107920700
5Pik34EY1zRXYQGzBV_d8g,vaso-azzurro-ristorante-mountain-view,Vaso Azzurro Ristorante,False,1703,Italian,4.0,"['pickup', 'delivery']",$$,108 Castro St,Mountain View,US,CA,"['108 Castro St', 'Mountain View, CA 94041']",+16509401717
H8GLq1c-VXz6Krf_tWqqJw,country-way-fremont-2,Country Way,False,2258,American (Traditional),4.0,['delivery'],$$,5325 Mowry Ave,Fremont,US,CA,"['5325 Mowry Ave', 'Fremont, CA 94538']",+15107973188
P1eEPolk9EDGqVn1Jyncww,the-sea-by-alexanders-steakhouse-palo-alto-3,The Sea by Alexander's Steakhouse,False,1080,Seafood,4.0,"['pickup', 'delivery']",$$$$,4269 El Camino Real,Palo Alto,US,CA,"['4269 El Camino Real', 'Palo Alto, CA 94306']",+16502131111
wMjksqEhNJhtdKvFbsXWrQ,texas-roadhouse-union-city-4,Texas Roadhouse,False,2896,Steakhouses,4.0,[],$$,32115 Union Landing Blvd,Union City,US,CA,"['32115 Union Landing Blvd', 'Union City, CA 94587']",+15103247623
ajSiL0KXQF3T2Y0rfCyLYA,mint-and-basil-milpitas,Mint & Basil,False,1029,Vietnamese,4.0,['pickup'],$$,1741 N Milpitas Blvd,Milpitas,US,CA,"['1741 N Milpitas Blvd', 'Milpitas, CA 95035']",+16692355285
WrJjEbicYcQwpZJLRJFPCg,pho-kim-long-restaurant-san-jose,Pho Kim Long Restaurant,False,2597,Vietnamese,4.0,"['pickup', 'delivery']",$$,2082 N Capitol Ave,San Jose,US,CA,"['2082 N Capitol Ave', 'San Jose, CA 95132']",+14089462181
8KayUocIVMfgfEuqP1Q-rw,pepper-lunch-usa-milpitas,Pepper Lunch USA,False,2504,Teppanyaki,4.0,['delivery'],$$,408 Barber Ln,Milpitas,US,CA,"['408 Barber Ln', 'Milpitas, CA 95035']",+14085770778
Ysy1QTNCZLa0SvN2xjF-nQ,sala-thai-2-fremont-3,Sala Thai 2,False,1062,Thai,4.0,['delivery'],$$,44800 S Grimmer Blvd,Fremont,US,CA,"['44800 S Grimmer Blvd', 'Fremont, CA 94538']",+15104450088
